"","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","disc_number","duration_ms","track_number"
"55",2022,0.466,0.821,2,-9.886,0,0.254,0.0352,0.734,0.61,0.314,149.958,4,1,192266,5
"56",2022,0.411,0.632,8,-11.118,1,0.0475,0.0442,0.785,0.194,0.326,168.509,4,1,275760,6
"57",2022,0.483,0.319,10,-10.062,1,0.044,0.156,0.646,0.245,0.745,180.008,4,1,139760,7
"58",2022,0.393,0.545,8,-10.69,0,0.0628,0.0548,0.846,0.127,0.514,203.411,3,1,247880,8
"59",2022,0.481,0.462,11,-8.536,1,0.0451,0.000395,0.81,0.21,0.293,175.91,4,1,218800,9
"60",2022,0.751,0.651,1,-10.149,1,0.0407,0.00677,0.85,0.0237,0.491,90.05,4,1,209066,10
"61",2022,0.702,0.727,1,-7.963,1,0.035,0.0033,0.878,0.217,0.274,92.972,4,1,228213,11
"62",2022,0.591,0.415,4,-7.176,1,0.0392,0.000294,0.882,0.187,0.139,165.826,4,1,46106,12
"63",2022,0.72,0.692,4,-8.465,0,0.0861,0.176,0.795,0.108,0.27,91.974,4,1,216853,13
"64",2022,0.723,0.511,1,-6.631,1,0.0349,0.00254,0.926,0.061,0.112,85.031,4,1,221560,14
"65",2022,0.639,0.54,3,-17.525,0,0.0306,0.967,0.923,0.113,0.713,89.93,4,1,53373,15
"66",2022,0.679,0.518,8,-12.029,1,0.509,0.176,0.607,0.216,0.348,128.105,3,1,179693,16
"67",2022,0.593,0.605,6,-10.911,0,0.0397,0.00306,0.815,0.1,0.038,120.012,4,1,232693,17
"68",2022,0.356,0.585,1,-9.71,1,0.0598,0.011,0.946,0.0924,0.153,94.07,4,1,158333,18
"69",2022,0.34,0.479,1,-11.534,1,0.0671,0.0193,0.931,0.215,0.855,187.61,4,1,80666,19
"70",2022,0.445,0.63,3,-9.702,0,0.0392,0.000506,0.858,0.16,0.358,171.948,4,1,255680,20
"71",2022,0.741,0.485,9,-9.489,1,0.0441,0.000158,0.926,0.0664,0.318,127.99,4,1,170426,21
"72",2021,0.355,0.555,11,-11.822,0,0.302,0.128,0.047,0.191,0.278,65.254,3,1,45333,1
"73",2021,0.429,0.789,9,-6.481,0,0.172,0.0913,0,0.162,0.565,73.017,4,1,204800,2
"74",2021,0.745,0.756,11,-7.461,0,0.233,0.064,0,0.347,0.196,140.003,4,1,212866,3
"75",2021,0.57,0.903,9,-5.635,1,0.0999,0.0396,8.39e-06,0.101,0.533,152.18,4,1,272546,4
"76",2021,0.613,0.767,11,-6.756,1,0.312,0.0128,1.76e-05,0.0848,0.456,169.631,4,1,245453,5
"77",2021,0.734,0.62,0,-6.727,1,0.157,0.719,1.82e-06,0.0815,0.784,97.402,3,1,126000,6
"78",2021,0.671,0.848,10,-5.183,0,0.274,0.167,2.95e-05,0.0709,0.675,158.069,4,1,182800,7
"79",2021,0.614,0.827,6,-7.384,0,0.292,0.0932,0,0.196,0.597,80.86,4,1,248200,8
"80",2021,0.502,0.868,1,-5.102,1,0.315,0.0508,2.85e-05,0.613,0.574,76.079,4,1,235333,9
"81",2021,0.633,0.686,9,-6.689,0,0.199,0.293,0,0.148,0.525,92.373,4,1,173466,10
"82",2021,0.747,0.839,10,-6.779,0,0.293,0.0369,0.00878,0.135,0.746,81.008,4,1,277906,11
"83",2021,0.733,0.818,3,-5.212,1,0.284,0.0767,2.37e-06,0.2,0.378,110.893,5,1,271293,12
"84",2021,0.683,0.819,4,-7.134,0,0.372,0.128,0,0.292,0.882,160.387,4,1,249000,13
"85",2021,0.716,0.865,11,-5.036,0,0.0503,0.0219,0.000111,0.237,0.574,140.004,4,1,304640,14
"86",2020,0.731,0.427,7,-13.112,1,0.363,0.0833,0.324,0.181,0.567,135.972,4,1,125600,1
"87",2020,0.549,0.624,0,-8.011,1,0.439,0.00433,0.000616,0.239,0.871,68.397,4,1,230773,2
"88",2020,0.737,0.874,10,-7.938,0,0.145,0.0468,0.565,0.0902,0.589,94.067,4,1,225466,3
"89",2020,0.589,0.585,10,-10.367,0,0.292,0.0118,0.274,0.343,0.596,99.266,4,1,88426,4
"90",2020,0.503,0.948,9,-7.582,0,0.397,0.0585,0.238,0.617,0.513,149.456,4,1,192266,5
"91",2020,0.534,0.803,1,-7.912,1,0.355,0.0547,0.57,0.174,0.565,85.638,4,1,275760,6
"92",2020,0.6,0.728,10,-7.696,0,0.149,0.0238,0.772,0.111,0.962,90.218,4,1,139760,7
"93",2020,0.541,0.83,8,-7.147,0,0.375,0.0948,0.462,0.125,0.581,136.011,4,1,247880,8
"94",2020,0.684,0.727,11,-6.804,1,0.284,0.000398,0.7,0.182,0.52,117.387,5,1,218800,9
"95",2020,0.707,0.89,8,-7.749,1,0.238,0.0733,0.000983,0.101,0.526,90.245,4,1,209066,10
"96",2020,0.744,0.873,7,-6.803,1,0.127,0.00646,0.607,0.161,0.343,92.949,4,1,228213,11
"97",2020,0.463,0.711,1,-6.506,0,0.253,0.00252,0.00464,0.159,0.444,168.794,4,1,46106,12
